59Fe_decay_rate,M_ini,M_fin,M_He,M_CO,M_cut,M_fb,M_rem,M_ej,X(12C),tau_H,tau_He,tau_total
DR,14,13.29,4.199,2.489,1.46,0,1.46,11.83,0.287,12.856,1.454,14.34
DR,15,12.91,4.663,2.888,1.57,0,1.57,11.34,0.257,11.7,1.364,13.088
DR,16,13.433,5.037,3.217,1.78,0,1.78,11.66,0.253,10.736,1.237,11.994
DR,18,14.367,5.847,3.909,1.49,0,1.49,12.87,0.247,9.303,1.034,10.354
DR,20,17.316,6.223,4.238,1.48,0.5,1.98,15.33,0.204,8.152,1.054,9.22
DR,25,19.789,8.423,6.231,1.58,0.52,2.1,17.69,0.214,6.43,0.724,7.164
DR,30,22.098,10.412,8.058,2.25,0.72,2.97,19.13,0.189,5.586,0.512,6.105
DR,35,23.31,12.551,10.003,1.97,2.97,4.94,18.37,0.19,4.882,0.529,5.417
DR,40,25.745,14.705,11.964,2.07,0.46,2.53,23.21,0.182,4.454,0.481,4.94
DR,50,33.245,19.011,15.891,1.72,0.95,2.66,30.58,0.175,3.895,0.415,4.314
DR,60,24.136,24.181,20.35,2.66,0,2.65,21.49,0.171,3.535,0.373,3.912
DR,70,32.927,30.608,26.945,2.19,22.8,24.99,7.94,0.122,3.284,0.359,3.646
DR,80,34.649,34.98,31.404,2.06,30.29,32.35,2.3,0.116,3.097,0.341,3.441
NR,14,13.29,4.198,2.493,1.43,0,1.43,11.87,0.285,12.856,1.455,14.341
NR,15,12.895,4.663,2.895,1.64,0,1.64,11.26,0.254,11.7,1.37,13.094
NR,16,13.407,5.053,3.224,1.62,0,1.62,11.79,0.248,10.736,1.239,11.996
NR,18,14.425,5.83,3.89,1.5,0,1.5,12.93,0.25,9.303,1.033,10.352
NR,20,17.351,6.471,4.475,1.54,0,1.54,15.81,0.236,8.148,0.941,9.103
NR,25,19.608,8.435,6.241,1.63,0,1.63,17.98,0.216,6.43,0.723,7.163
NR,30,22.645,10.354,7.962,1.86,0.79,2.65,20,0.197,5.491,0.605,6.104
NR,35,24.206,12.458,9.871,2.5,2.47,4.97,19.24,0.194,4.967,0.445,5.418
NR,40,24.972,14.783,12.056,1.68,0.58,2.26,22.71,0.177,4.454,0.482,4.941
NR,50,30.904,19.547,16.448,2.53,10.45,12.98,17.93,0.164,3.893,0.418,4.315
NR,60,31.621,25.045,21.666,2.05,18.88,20.93,10.69,0.14,3.535,0.38,3.919
NR,70,32.506,30.58,27.011,1.75,20.92,22.66,9.84,0.125,3.284,0.357,3.644
NR,80,38.048,35.742,31.776,2.08,27.28,29.36,8.68,0.113,3.097,0.341,3.441
