Fe59_decay_rate,M_ini,M_tot_26Al,M_wind_26Al,M_sh_26Al,M_exp_26Al,M_tot_60Fe,M_sh_60Fe,M_exp_60Fe
DR,14,3.99E-05,4.37E-09,2.24E-05,1.75E-05,3.05E-05,8.82E-06,2.17E-05
DR,15,2.23E-05,1.42E-09,1.98E-05,2.47E-06,5.47E-05,2.24E-05,3.23E-05
DR,16,4.70E-05,2.40E-09,7.13E-05,-2.43E-05,2.68E-05,4.30E-05,-1.62E-05
DR,18,3.13E-05,1.04E-08,1.30E-05,1.83E-05,1.60E-05,1.76E-05,-1.58E-06
DR,20,5.47E-05,1.42E-07,2.86E-05,2.60E-05,3.75E-05,5.41E-05,-1.66E-05
DR,25,8.79E-05,5.48E-07,4.44E-05,4.30E-05,5.21E-05,4.37E-05,8.43E-06
DR,30,1.90E-04,1.62E-06,2.42E-04,-5.35E-05,1.20E-04,1.41E-04,-2.07E-05
DR,35,7.88E-05,3.03E-06,9.73E-05,-2.15E-05,1.66E-04,1.74E-04,-7.32E-06
DR,40,2.27E-04,4.46E-06,2.25E-04,-2.72E-06,2.26E-04,2.34E-04,-8.17E-06
DR,50,1.57E-04,7.18E-06,1.26E-04,2.36E-05,1.64E-04,1.64E-04,1.43E-07
DR,60,4.15E-04,4.68E-05,5.34E-04,-1.66E-04,2.41E-04,2.64E-04,-2.23E-05
DR,70,4.92E-04,5.37E-05,1.75E-04,2.63E-04,6.18E-05,1.47E-04,-8.48E-05
DR,80,1.07E-04,9.10E-05,8.69E-05,-7.14E-05,1.58E-05,1.15E-04,-9.90E-05
NR,14,2.07E-05,4.38E-09,1.78E-05,2.89E-06,3.22E-06,3.83E-06,-6.09E-07
NR,15,1.21E-05,1.16E-09,1.37E-05,-1.65E-06,4.55E-05,1.87E-05,2.69E-05
NR,16,2.96E-05,2.55E-09,2.06E-05,8.95E-06,2.07E-05,2.59E-06,1.81E-05
NR,18,3.43E-05,8.88E-09,1.24E-05,2.19E-05,9.92E-06,1.07E-05,-7.58E-07
NR,20,9.29E-05,8.57E-08,8.62E-05,6.64E-06,6.68E-06,7.20E-06,-5.14E-07
NR,25,7.74E-05,5.26E-07,3.26E-05,4.43E-05,4.46E-05,4.65E-05,-1.85E-06
NR,30,1.20E-04,1.20E-06,8.16E-05,3.75E-05,9.33E-05,9.89E-05,-5.59E-06
NR,35,2.62E-04,2.27E-06,4.00E-04,-1.40E-04,7.77E-05,9.34E-05,-1.57E-05
NR,40,9.14E-05,5.23E-06,5.84E-05,2.78E-05,5.18E-05,5.16E-05,1.78E-07
NR,50,1.45E-04,8.52E-06,1.97E-04,-6.06E-05,1.50E-04,1.86E-04,-3.55E-05
NR,60,5.65E-04,2.68E-05,2.35E-04,3.03E-04,5.31E-05,1.32E-04,-7.90E-05
NR,70,1.19E-04,5.58E-05,1.23E-04,-6.02E-05,6.86E-05,1.21E-04,-5.26E-05
NR,80,2.01E-04,7.27E-05,6.20E-05,6.58E-05,2.99E-05,7.88E-05,-4.89E-05
